               col0    col1      col2                col3                col4  
              -1.49     1.0       0.0   5.96587519389e-05                 0.0  
              -1.48     0.0       0.0                 0.0                 0.0  
              -1.47     1.0       1.0   5.96587519389e-05   5.96587519389e-05  
              -1.46     0.0       1.0                 0.0   5.96587519389e-05  
              -1.45     1.0       2.0   5.96587519389e-05   0.000119317503878  
              -1.44     2.0       4.0   0.000119317503878   0.000238635007756  
              -1.43     2.0       6.0   0.000119317503878   0.000357952511633  
              -1.42     1.0       7.0   5.96587519389e-05   0.000417611263572  
              -1.41     0.0       7.0                 0.0   0.000417611263572  
               -1.4     0.0       7.0                 0.0   0.000417611263572  
              -1.39     0.0       7.0                 0.0   0.000417611263572  
              -1.38     0.0       7.0                 0.0   0.000417611263572  
              -1.37     0.0       7.0                 0.0   0.000417611263572  
              -1.36     1.0       8.0   5.96587519389e-05   0.000477270015511  
              -1.35     1.0       9.0   5.96587519389e-05    0.00053692876745  
              -1.34     1.0      10.0   5.96587519389e-05   0.000596587519389  
              -1.33     1.0      11.0   5.96587519389e-05   0.000656246271328  
              -1.32     0.0      11.0                 0.0   0.000656246271328  
              -1.31     1.0      12.0   5.96587519389e-05   0.000715905023267  
               -1.3     1.0      13.0   5.96587519389e-05   0.000775563775206  
              -1.29     2.0      15.0   0.000119317503878   0.000894881279084  
              -1.28     1.0      16.0   5.96587519389e-05   0.000954540031023  
              -1.27     0.0      16.0                 0.0   0.000954540031023  
              -1.26     1.0      17.0   5.96587519389e-05    0.00101419878296  
              -1.25     0.0      17.0                 0.0    0.00101419878296  
              -1.24     0.0      17.0                 0.0    0.00101419878296  
              -1.23     1.0      18.0   5.96587519389e-05     0.0010738575349  
              -1.22     5.0      23.0   0.000298293759695    0.00137215129459  
              -1.21     0.0      23.0                 0.0    0.00137215129459  
               -1.2     1.0      24.0   5.96587519389e-05    0.00143181004653  
              -1.19     1.0      25.0   5.96587519389e-05    0.00149146879847  
              -1.18     0.0      25.0                 0.0    0.00149146879847  
              -1.17     3.0      28.0   0.000178976255817    0.00167044505429  
              -1.16     2.0      30.0   0.000119317503878    0.00178976255817  
              -1.15     4.0      34.0   0.000238635007756    0.00202839756592  
              -1.14     3.0      37.0   0.000178976255817    0.00220737382174  
              -1.13     5.0      42.0   0.000298293759695    0.00250566758143  
              -1.12     3.0      45.0   0.000178976255817    0.00268464383725  
              -1.11     3.0      48.0   0.000178976255817    0.00286362009307  
               -1.1     6.0      54.0   0.000357952511633     0.0032215726047  
              -1.09     5.0      59.0   0.000298293759695     0.0035198663644  
              -1.08     7.0      66.0   0.000417611263572    0.00393747762797  
              -1.07     3.0      69.0   0.000178976255817    0.00411645388378  
              -1.06     4.0      73.0   0.000238635007756    0.00435508889154  
              -1.05     1.0      74.0   5.96587519389e-05    0.00441474764348  
              -1.04     1.0      75.0   5.96587519389e-05    0.00447440639542  
              -1.03     3.0      78.0   0.000178976255817    0.00465338265123  
              -1.02     8.0      86.0   0.000477270015511    0.00513065266675  
              -1.01     3.0      89.0   0.000178976255817    0.00530962892256  
               -1.0     4.0      93.0   0.000238635007756    0.00554826393032  
              -0.99     7.0     100.0   0.000417611263572    0.00596587519389  
              -0.98     7.0     107.0   0.000417611263572    0.00638348645746  
              -0.97     3.0     110.0   0.000178976255817    0.00656246271328  
              -0.96     5.0     115.0   0.000298293759695    0.00686075647297  
              -0.95     6.0     121.0   0.000357952511633    0.00721870898461  
              -0.94     7.0     128.0   0.000417611263572    0.00763632024818  
              -0.93    11.0     139.0   0.000656246271328    0.00829256651951  
              -0.92     3.0     142.0   0.000178976255817    0.00847154277533  
              -0.91     6.0     148.0   0.000357952511633    0.00882949528696  
               -0.9     6.0     154.0   0.000357952511633    0.00918744779859  
              -0.89     6.0     160.0   0.000357952511633    0.00954540031023  
              -0.88    12.0     172.0   0.000715905023267     0.0102613053335  
              -0.87    14.0     186.0   0.000835222527145     0.0110965278606  
              -0.86    10.0     196.0   0.000596587519389       0.01169311538  
              -0.85    14.0     210.0   0.000835222527145     0.0125283379072  
              -0.84    15.0     225.0   0.000894881279084     0.0134232191863  
              -0.83    13.0     238.0   0.000775563775206     0.0141987829615  
              -0.82    15.0     253.0   0.000894881279084     0.0150936642405  
              -0.81    13.0     266.0   0.000775563775206     0.0158692280157  
               -0.8    19.0     285.0    0.00113351628684     0.0170027443026  
              -0.79    12.0     297.0   0.000715905023267     0.0177186493259  
              -0.78    15.0     312.0   0.000894881279084     0.0186135306049  
              -0.77    13.0     325.0   0.000775563775206     0.0193890943801  
              -0.76    14.0     339.0   0.000835222527145     0.0202243169073  
              -0.75    20.0     359.0    0.00119317503878     0.0214174919461  
              -0.74    10.0     369.0   0.000596587519389     0.0220140794655  
              -0.73    13.0     382.0   0.000775563775206     0.0227896432407  
              -0.72    22.0     404.0    0.00131249254266     0.0241021357833  
              -0.71    24.0     428.0    0.00143181004653     0.0255339458299  
               -0.7    24.0     452.0    0.00143181004653     0.0269657558764  
              -0.69    23.0     475.0    0.00137215129459      0.028337907171  
              -0.68    15.0     490.0   0.000894881279084     0.0292327884501  
              -0.67    21.0     511.0    0.00125283379072     0.0304856222408  
              -0.66    25.0     536.0    0.00149146879847     0.0319770910393  
              -0.65    34.0     570.0    0.00202839756592     0.0340054886052  
              -0.64    29.0     599.0    0.00173010380623     0.0357355924114  
              -0.63    30.0     629.0    0.00178976255817     0.0375253549696  
              -0.62    32.0     661.0    0.00190908006205     0.0394344350316  
              -0.61    32.0     693.0    0.00190908006205     0.0413435150937  
               -0.6    14.0     707.0   0.000835222527145     0.0421787376208  
